ts,chain,token,disp_pct
2026-06-21T04:56:21.399093+00:00,base,CBBTC,0.4232
2026-06-21T04:56:21.399093+00:00,base,WETH,0.2894
2026-06-21T04:56:21.399093+00:00,aptos,USDC,0.03
2026-06-21T04:56:21.399093+00:00,aptos,APT,0.0
2026-06-21T04:58:09.104828+00:00,sui,WAL,0.0
2026-06-21T04:58:09.104828+00:00,sui,CETUS,0.1634
2026-06-21T04:58:09.104828+00:00,sui,USDSUI,0.2702
2026-06-21T04:58:09.104828+00:00,sui,SUIUSDT,0.0
2026-06-21T04:58:09.104828+00:00,sui,USDC,0.1928
2026-06-21T04:58:09.104828+00:00,sui,SUI,0.0
2026-06-21T04:58:09.104828+00:00,solana,JITOSOL,0.1803
2026-06-21T04:58:09.104828+00:00,solana,HYPE,0.3897
2026-06-21T04:58:09.104828+00:00,solana,PENGU,0.3697
2026-06-21T04:58:09.104828+00:00,solana,POPCAT,0.0854
2026-06-21T04:58:09.104828+00:00,solana,ORE,0.399
2026-06-21T04:58:09.104828+00:00,solana,MET,0.9861
2026-06-21T04:58:09.104828+00:00,solana,USELESS,0.2657
2026-06-21T04:58:09.104828+00:00,solana,JUP,0.8253
2026-06-21T04:58:09.104828+00:00,solana,TRUMP,0.0
2026-06-21T04:58:09.104828+00:00,solana,USDG,0.13
2026-06-21T04:58:09.104828+00:00,solana,USDE,0.1002
2026-06-21T04:58:09.104828+00:00,solana,FO,0.378
2026-06-21T04:58:09.104828+00:00,solana,USDC,0.029
2026-06-21T04:58:09.104828+00:00,solana,SOL,0.6546
2026-06-21T04:58:09.104828+00:00,base,CBETH,0.3173
2026-06-21T04:58:09.104828+00:00,base,WEETH,0.0904
2026-06-21T04:58:09.104828+00:00,base,USDC,0.0029
2026-06-21T04:58:09.104828+00:00,base,USDT,0.1002
2026-06-21T04:58:09.104828+00:00,base,BRETT,0.4769
2026-06-21T04:58:09.104828+00:00,base,VIRTUAL,0.1477
2026-06-21T04:58:09.104828+00:00,base,EURC,0.0
2026-06-21T04:58:09.104828+00:00,base,AERO,0.6266
2026-06-21T04:58:09.104828+00:00,base,ETH,1.6259
2026-06-21T04:58:09.104828+00:00,base,CBBTC,0.4359
2026-06-21T04:58:09.104828+00:00,base,WETH,0.2894
2026-06-21T04:58:09.104828+00:00,aptos,USDC,0.03
2026-06-21T04:58:09.104828+00:00,aptos,APT,0.0
2026-06-21T05:01:01.449147+00:00,sui,WAL,0.1168
2026-06-21T05:01:01.449147+00:00,sui,CETUS,0.218
2026-06-21T05:01:01.449147+00:00,sui,USDSUI,0.2903
2026-06-21T05:01:01.449147+00:00,sui,SUIUSDT,0.0
2026-06-21T05:01:01.449147+00:00,sui,USDC,0.1728
2026-06-21T05:01:01.449147+00:00,sui,SUI,0.0142
2026-06-21T05:01:01.449147+00:00,solana,JITOSOL,0.1378
2026-06-21T05:01:01.449147+00:00,solana,HYPE,0.4185
2026-06-21T05:01:01.449147+00:00,solana,PENGU,0.3697
2026-06-21T05:01:01.449147+00:00,solana,POPCAT,0.0854
2026-06-21T05:01:01.449147+00:00,solana,ORE,0.399
2026-06-21T05:01:01.449147+00:00,solana,MET,0.9861
2026-06-21T05:01:01.449147+00:00,solana,USELESS,0.0795
2026-06-21T05:01:01.449147+00:00,solana,JUP,0.8712
2026-06-21T05:01:01.449147+00:00,solana,TRUMP,0.0
2026-06-21T05:01:01.449147+00:00,solana,USDG,0.097
2026-06-21T05:01:01.449147+00:00,solana,USDE,0.1002
2026-06-21T05:01:01.449147+00:00,solana,FO,0.378
2026-06-21T05:01:01.449147+00:00,solana,USDC,0.029
2026-06-21T05:01:01.449147+00:00,solana,SOL,0.682
2026-06-21T05:01:01.449147+00:00,base,CBETH,0.4595
2026-06-21T05:01:01.449147+00:00,base,WEETH,0.2084
2026-06-21T05:01:01.449147+00:00,base,USDC,0.0029
2026-06-21T05:01:01.449147+00:00,base,USDT,0.0902
2026-06-21T05:01:01.449147+00:00,base,BRETT,0.4769
2026-06-21T05:01:01.449147+00:00,base,VIRTUAL,0.2954
2026-06-21T05:01:01.449147+00:00,base,EURC,0.0
2026-06-21T05:01:01.449147+00:00,base,AERO,0.6266
2026-06-21T05:01:01.449147+00:00,base,ETH,1.6259
2026-06-21T05:01:01.449147+00:00,base,CBBTC,0.3072
2026-06-21T05:01:01.449147+00:00,base,WETH,0.2623
2026-06-21T05:01:01.449147+00:00,aptos,USDC,0.03
2026-06-21T05:01:01.449147+00:00,aptos,APT,0.0
2026-06-21T05:02:41.110533+00:00,sui,WAL,0.0
2026-06-21T05:02:41.110533+00:00,sui,CETUS,0.218
2026-06-21T05:02:41.110533+00:00,sui,USDSUI,0.3203
2026-06-21T05:02:41.110533+00:00,sui,SUIUSDT,0.0
2026-06-21T05:02:41.110533+00:00,sui,USDC,0.1928
2026-06-21T05:02:41.110533+00:00,sui,SUI,0.0142
2026-06-21T05:02:41.110533+00:00,solana,JITOSOL,0.1166
2026-06-21T05:02:41.110533+00:00,solana,HYPE,0.4185
2026-06-21T05:02:41.110533+00:00,solana,PENGU,0.3697
2026-06-21T05:02:41.110533+00:00,solana,POPCAT,0.0854
2026-06-21T05:02:41.110533+00:00,solana,ORE,1.2068
2026-06-21T05:02:41.110533+00:00,solana,MET,0.9275
2026-06-21T05:02:41.110533+00:00,solana,USELESS,0.3197
2026-06-21T05:02:41.110533+00:00,solana,JUP,0.8253
2026-06-21T05:02:41.110533+00:00,solana,TRUMP,0.0
2026-06-21T05:02:41.110533+00:00,solana,USDG,0.064
2026-06-21T05:02:41.110533+00:00,solana,USDE,0.01
2026-06-21T05:02:41.110533+00:00,solana,FO,0.378
2026-06-21T05:02:41.110533+00:00,solana,USDC,0.019
2026-06-21T05:02:41.110533+00:00,solana,SOL,0.682
2026-06-21T05:02:41.110533+00:00,base,CBETH,0.4539
2026-06-21T05:02:41.110533+00:00,base,WEETH,0.2084
2026-06-21T05:02:41.110533+00:00,base,USDC,0.0029
2026-06-21T05:02:41.110533+00:00,base,USDT,0.1303
2026-06-21T05:02:41.110533+00:00,base,BRETT,0.4769
2026-06-21T05:02:41.110533+00:00,base,VIRTUAL,0.3944
2026-06-21T05:02:41.110533+00:00,base,EURC,0.0
2026-06-21T05:02:41.110533+00:00,base,AERO,0.8109
2026-06-21T05:02:41.110533+00:00,base,ETH,1.6259
2026-06-21T05:02:41.110533+00:00,base,CBBTC,0.3624
2026-06-21T05:02:41.110533+00:00,base,WETH,0.2449
2026-06-21T05:02:41.110533+00:00,aptos,USDC,0.03
2026-06-21T05:02:41.110533+00:00,aptos,APT,0.0
2026-06-21T05:04:20.814479+00:00,sui,WAL,0.0
2026-06-21T05:04:20.814479+00:00,sui,CETUS,0.0545
2026-06-21T05:04:20.814479+00:00,sui,USDSUI,0.3102
2026-06-21T05:04:20.814479+00:00,sui,SUIUSDT,0.0
2026-06-21T05:04:20.814479+00:00,sui,USDC,0.2858
2026-06-21T05:04:20.814479+00:00,sui,SUI,0.0425
2026-06-21T05:04:20.814479+00:00,solana,JITOSOL,0.0742
2026-06-21T05:04:20.814479+00:00,solana,HYPE,0.4185
2026-06-21T05:04:20.814479+00:00,solana,PENGU,0.3697
2026-06-21T05:04:20.814479+00:00,solana,POPCAT,0.3211
2026-06-21T05:04:20.814479+00:00,solana,ORE,1.3426
2026-06-21T05:04:20.814479+00:00,solana,MET,0.9275
2026-06-21T05:04:20.814479+00:00,solana,USELESS,0.0133
2026-06-21T05:04:20.814479+00:00,solana,JUP,1.4592
