t0,chain,token,entry_spread_pct,lo_dex,hi_dex,min_tvl,whale,n_samples,n_pos_after_entry,best_net_pct,actionable
2026-06-21T01:35:43.787527+00:00,base,CBBTC,0.3727,aerodrome,uniswap,705812,1,17,0,-0.7046,0
2026-06-21T01:37:21.553238+00:00,sui,SUI,0.3811,steamm,momentum,355322,0,17,0,-0.8928,0
2026-06-21T02:00:59.384319+00:00,solana,TRUMP,0.5556,orca,meteora,896964,0,6,0,-0.0487,0
2026-06-21T01:47:22.009990+00:00,base,VIRTUAL,0.5274,aerodrome,uniswap,422892,0,18,0,-0.3199,0
2026-06-21T01:55:51.054813+00:00,solana,JUP,0.5119,orca,meteora,290931,1,14,0,-1.1934,0
2026-06-21T02:04:24.996512+00:00,base,AERO,1.3269,aerodrome,uniswap,367973,1,18,4,0.3036,1
2026-06-21T02:07:48.672271+00:00,base,WETH,0.42,uniswap,aerodrome,725755,1,18,0,-0.6229,0
2026-06-21T02:15:35.708793+00:00,solana,SOL,1.9225,orca,raydium,571523,1,17,10,0.8464,1
2026-06-21T02:17:13.454033+00:00,sui,CETUS,0.5423,cetus,cetus,445711,0,18,0,-0.8561,0
2026-06-21T02:18:51.582947+00:00,base,ETH,1.4723,uniswap,uniswap,711968,0,18,2,0.409,1
2026-06-21T02:35:50.240190+00:00,solana,UMBRA,0.8402,meteora,metadao,507075,0,12,0,-1.1397,0
2026-06-21T02:30:51.158947+00:00,solana,MET,0.6683,meteora,meteora,667370,1,17,0,-0.0045,0
2026-06-21T02:40:49.842943+00:00,base,WETH,0.4298,uniswap,uniswap,725755,1,18,0,-0.6229,0
2026-06-21T03:12:02.495481+00:00,solana,USDC,0.6084,raydium,meteora,1041943,0,2,0,-0.8646,0
2026-06-21T02:50:20.546537+00:00,base,CBBTC,0.3146,uniswap,aerodrome,433216,0,17,0,-0.1686,0
2026-06-21T02:51:54.777025+00:00,solana,SOL,0.492,raydium,raydium,567432,1,17,2,10.85,1
2026-06-21T03:04:08.421008+00:00,sui,SUI,0.3106,steamm,momentum,355252,0,12,0,-1.2881,0
2026-06-21T02:55:03.275600+00:00,solana,JUP,0.5955,meteora,meteora,411974,1,17,0,-0.4164,0
2026-06-21T02:56:37.723550+00:00,solana,HYPE,0.8484,orca,meteora,343566,1,17,0,-0.2789,0
2026-06-21T03:24:12.686594+00:00,sui,USDC,0.3157,turbos-finance,cetus,641872,0,4,0,-0.8989,0
2026-06-21T03:25:54.824155+00:00,solana,TRUMP,0.5556,meteora,meteora,3856600,0,3,0,-0.0487,0
2026-06-21T03:04:08.421008+00:00,base,CBETH,0.3136,aerodrome,alien-base,255804,0,18,0,-0.9152,0
2026-06-21T03:10:27.910784+00:00,solana,MET,1.8462,meteora,meteora,251506,1,18,2,0.0053,1
2026-06-21T03:22:29.650851+00:00,sui,CETUS,0.5972,cetus,cetus,445459,0,13,0,-0.9105,0
2026-06-21T03:12:02.495481+00:00,solana,JITOSOL,0.3561,raydium,orca,352459,0,18,0,-0.3504,0
2026-06-21T03:17:22.302803+00:00,solana,PENGU,0.3122,pumpswap,orca,1110292,0,16,0,-0.0579,0
2026-06-21T03:19:04.596985+00:00,solana,FO,0.378,meteora,meteora,2528434,0,15,0,-0.2807,0
2026-06-21T03:24:12.686594+00:00,solana,SOL,0.5309,raydium,raydium,570086,1,12,0,-0.0064,0
2026-06-21T03:15:39.146531+00:00,base,WETH,0.3703,uniswap,uniswap,725755,1,17,0,-0.6633,0
2026-06-21T03:15:39.146531+00:00,base,VIRTUAL,0.3132,uniswap,aerodrome,497189,0,17,0,-0.1713,0
2026-06-21T03:22:29.650851+00:00,base,CBBTC,0.7262,aerodrome,hydrex,349258,1,13,0,-0.2215,0
2026-06-21T03:54:13.997089+00:00,solana,POPCAT,0.5579,raydium,raydium,580916,0,2,0,-1.1446,0
2026-06-21T03:25:54.824155+00:00,base,AERO,1.0792,uniswap,aerodrome,366140,1,13,0,-0.0517,0
2026-06-21T03:27:37.745171+00:00,solana,ORE,0.7545,meteora,orca,266522,1,13,0,-1.2468,0
2026-06-21T03:30:45.165436+00:00,solana,JUP,0.9507,meteora,meteora,471266,1,13,2,0.5937,1
2026-06-21T03:30:45.165436+00:00,solana,HYPE,0.3002,meteora,meteora,344719,1,13,0,-0.3934,0
2026-06-21T03:32:19.848981+00:00,sui,SUI,0.522,momentum,steamm,356339,0,13,0,-1.1015,0
2026-06-21T04:04:24.628757+00:00,solana,POPCAT,0.5584,raydium,raydium,580673,0,5,0,-0.7795,0
2026-06-21T03:55:54.038214+00:00,base,CBBTC,0.8056,aerodrome,quickswap,260285,1,13,1,0.034,0
2026-06-21T04:04:24.628757+00:00,solana,JUP,1.2745,meteora,meteora,412366,1,13,2,0.225,1
2026-06-21T04:04:24.628757+00:00,base,VIRTUAL,0.9552,aerodrome,uniswap,424228,1,13,1,0.0596,0
2026-06-21T04:04:24.628757+00:00,base,AERO,0.8555,aerodrome,aerodrome,969807,1,13,8,0.4664,1
2026-06-21T04:26:48.441491+00:00,solana,USDG,0.3357,orca,orca,3446146,0,10,0,-0.4065,0
2026-06-21T04:38:03.366618+00:00,sui,USDC,0.3378,turbos-finance,cetus,641878,0,6,0,-0.9771,0
2026-06-21T04:18:45.104025+00:00,solana,SOL,2.6518,meteora,raydium,573425,1,19,9,0.2956,1
2026-06-21T04:21:57.985259+00:00,base,WETH,0.3853,uniswap,uniswap,725755,1,19,0,-0.6581,0
2026-06-21T04:25:11.796443+00:00,solana,POPCAT,0.749,raydium,raydium,583940,0,19,0,-0.4365,0
2026-06-21T04:25:11.796443+00:00,solana,HYPE,0.5016,orca,meteora,874221,1,19,0,-0.4564,0
2026-06-21T04:30:02.814935+00:00,solana,JITOSOL,0.6373,orca,meteora,351882,0,18,0,-0.4854,0
2026-06-21T04:30:54.918656+00:00,solana,PENGU,0.3978,orca,pumpswap,1119410,0,17,0,-0.2739,0
2026-06-21T04:28:26.137771+00:00,base,CBBTC,0.7091,aerodrome,hydrex,708182,1,19,0,-0.3432,0
2026-06-21T04:36:16.129180+00:00,solana,JUP,1.834,meteora,orca,298543,1,18,6,0.3167,1
2026-06-21T04:38:03.366618+00:00,solana,MET,0.8955,meteora,meteora,255445,1,18,1,0.0147,0
2026-06-21T04:38:03.366618+00:00,base,AERO,1.1979,aerodrome,aerodrome,1370517,1,18,9,0.4046,1
